Total Number of Aligned Reads:	1999989	Total Number of Mapped Genomes:	413							
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|435590|org|Bacteroides_vulgatus_ATCC_8482	0.06	0	60000	0.115538135	0.000851005	0.011759307	0.01315258	26305.01631	0.003332518	0.075810917
ti|552531|org|Bifidobacterium_animalis_subsp._lactis_BB-12	0.08	0	80000	0.075212914	0	0.012812581	0.013066618	26133.0915	0.000529503	0.073973407
ti|862962|org|Bacteroides_fragilis_638R	0.14	0	140000	0.043450739	0	0.043427972	0.043431003	86861.52778	0.043421739	2.85E-05
ti|226185|org|Enterococcus_faecalis_V583	0.09	0	90000	0.037611707	2.00E-06	0.008220152	0.008843098	17686.09816	0.000996005	0.035061693
ti|349741|org|Akkermansia_muciniphila_ATCC_BAA-835	0.06	0	60000	0.040762224	0.002193012	0.008223023	0.009162156	18324.21041	0.003306018	0.028226655
ti|226186|org|Bacteroides_thetaiotaomicron_VPI-5482	0.05	0	50000	0.040139221	0.000126501	0.00451004	0.005519645	11039.22883	0.002148012	0.02730115
ti|391904|org|Bifidobacterium_longum_subsp._infantis_ATCC_15697_=_JCM_1222	0.13	0	130000	0.039049715	0.001214507	0.008493384	0.008935319	17870.53983	0.002172012	0.029673663
ti|910348|org|Escherichia_coli_P12b	0.16	0	160000	0.031143171	0.000391002	0.007466593	0.007937274	15874.46116	0.001125506	0.046121254
ti|1046624|org|Lactococcus_lactis_subsp._lactis_IO-1	0.15	0	150000	0.030245666	2.50E-06	0.009238877	0.009703344	19406.58059	0.002570514	0.026025143
ti|645463|org|Clostridium_difficile_R20291	0.08	0	80000	0.029278161	1.40E-05	0.020087617	0.021334787	42669.33893	0.017944599	0.008596547
